trial_id	start_ms	duration_ms	fix_x	fix_y	exp_id	end_ms	program
1	0	234	554	485	7	234	nt1
1	267	492	307	425	7	759	nt1
1	768	367	356	430	7	1135	nt1
1	1151	376	414	439	7	1527	nt1
1	1535	259	455	436	7	1794	nt1
1	1802	259	485	429	7	2061	nt1
1	2069	234	450	433	7	2303	nt1
1	2311	242	473	433	7	2553	nt1
1	2561	393	515	438	7	2954	nt1
1	2962	225	584	445	7	3187	nt1
1	3196	133	620	450	7	3329	nt1
1	3346	392	573	453	7	3738	nt1
1	3746	768	601	450	7	4514	nt1
1	4522	184	664	443	7	4706	nt1
1	4714	250	626	450	7	4964	nt1
1	4973	192	674	459	7	5165	nt1
1	5173	167	715	450	7	5340	nt1
1	5457	383	774	460	7	5840	nt1
1	5849	150	753	452	7	5999	nt1
1	6007	351	843	449	7	6358	nt1
1	6366	184	821	459	7	6550	nt1
1	6558	184	908	449	7	6742	nt1
1	6750	192	856	449	7	6942	nt1
1	6959	216	971	444	7	7175	nt1
1	7192	526	1033	443	7	7718	nt1
1	7726	117	1055	437	7	7843	nt1
1	7851	67	1052	465	7	7918	nt1
1	7960	208	1111	428	7	8168	nt1
1	8177	283	1158	429	7	8460	nt1
1	8469	150	1200	411	7	8619	nt1
1	8627	259	1246	418	7	8886	nt1
1	8894	242	1280	420	7	9136	nt1
1	9145	216	1244	417	7	9361	nt1
1	9370	225	1281	418	7	9595	nt1
1	9612	233	1335	432	7	9845	nt1
1	9920	142	362	473	7	10062	nt1
1	10087	860	310	482	7	10947	nt1
1	10955	334	368	477	7	11289	nt1
1	11305	309	461	483	7	11614	nt1
1	11623	233	501	493	7	11856	nt1
1	11864	267	462	469	7	12131	nt1
1	12140	359	514	496	7	12499	nt1
1	12507	275	550	497	7	12782	nt1
1	12791	208	585	499	7	12999	nt1
1	13008	442	631	497	7	13450	nt1
1	13458	192	669	496	7	13650	nt1
1	13667	409	716	507	7	14076	nt1
1	14084	317	764	499	7	14401	nt1
1	14418	283	832	495	7	14701	nt1
1	14710	384	886	483	7	15094	nt1
1	15102	200	919	490	7	15302	nt1
1	15310	226	962	490	7	15536	nt1
1	15544	125	993	490	7	15669	nt1
1	15686	175	1053	490	7	15861	nt1
1	15869	251	1014	483	7	16120	nt1
1	16128	50	1043	475	7	16178	nt1
1	16186	393	1068	483	7	16579	nt1
1	16587	125	1103	486	7	16712	nt1
1	16720	292	1152	478	7	17012	nt1
1	17021	275	1195	476	7	17296	nt1
1	17305	250	1241	474	7	17555	nt1
1	17563	242	1287	463	7	17805	nt1
1	17814	150	1329	458	7	17964	nt1
1	17972	175	1294	472	7	18147	nt1
1	18155	226	1244	470	7	18381	nt1
1	18389	234	1285	469	7	18623	nt1
1	18631	125	1326	457	7	18756	nt1
1	18765	383	1340	484	7	19148	nt1
1	19157	66	1327	463	7	19223	nt1
1	19307	484	302	521	7	19791	nt1
1	19799	609	342	531	7	20408	nt1
1	20417	242	389	534	7	20659	nt1
1	20675	401	427	524	7	21076	nt1
1	21084	309	483	522	7	21393	nt1
1	21401	326	518	524	7	21727	nt1
1	21735	384	573	541	7	22119	nt1
1	22127	250	620	553	7	22377	nt1
1	22386	392	701	540	7	22778	nt1
1	22786	250	726	548	7	23036	nt1
1	23045	258	751	538	7	23303	nt1
1	23312	75	728	543	7	23387	nt1
1	23404	459	809	542	7	23863	nt1
1	23871	233	872	550	7	24104	nt1
1	24113	233	909	549	7	24346	nt1
1	24355	183	837	537	7	24538	nt1
1	24547	408	802	545	7	24955	nt1
1	24972	234	902	532	7	25206	nt1
1	25214	251	934	535	7	25465	nt1
1	25473	183	1002	540	7	25656	nt1
1	25665	192	954	540	7	25857	nt1
1	25865	284	1008	528	7	26149	nt1
1	26157	242	1055	537	7	26399	nt1
1	26416	300	1114	534	7	26716	nt1
1	26741	150	1063	539	7	26891	nt1
1	26916	276	1150	543	7	27192	nt1
1	27200	167	1119	527	7	27367	nt1
1	27392	342	1227	527	7	27734	nt1
1	27742	242	1290	526	7	27984	nt1
1	27993	342	1338	529	7	28335	nt1
1	28343	275	1214	521	7	28618	nt1
1	28693	142	337	567	7	28835	nt1
1	28844	258	309	579	7	29102	nt1
1	29111	325	352	562	7	29436	nt1
1	29444	317	318	559	7	29761	nt1
1	29770	509	366	564	7	30279	nt1
1	30287	300	409	570	7	30587	nt1
1	30596	375	439	577	7	30971	nt1
1	30980	342	486	571	7	31322	nt1
1	31330	267	531	580	7	31597	nt1
1	31605	151	562	571	7	31756	nt1
1	31772	317	633	583	7	32089	nt1
1	32098	467	665	584	7	32565	nt1
1	32573	100	687	592	7	32673	nt1
1	32682	1301	738	584	7	33983	nt1
1	34000	434	837	602	7	34434	nt1
1	34442	576	736	591	7	35018	nt1
1	35035	233	846	589	7	35268	nt1
